Artist,Genre,Energy,Main_Instrument,Prompt,Age_Group,Tribe,Signature_Look
Juno Vex,Electronic Pop,0.71,Synth,"ultra realistic close-up portrait of a young male producer, neutral expression, looking at camera, baseball cap, streetwear, natural skin texture, visible pores, realistic imperfections, 85mm lens, neon lighting, photorealistic",Young,La Calle, streetware_hat
Eira Flux,Indie Pop,0.58,Vocals,"ultra realistic close-up portrait of a young female indie singer, neutral expression, looking at camera, glitter makeup, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft neon lighting, photorealistic",Young,Los Románticos, hat1
Cale Rowan,Folk Rock,0.67,Guitar,"ultra realistic close-up portrait of a young male folk musician, neutral expression, looking at camera, beard, plaid shirt, natural skin texture, visible pores, realistic imperfections, 85mm lens, warm outdoor lighting, photorealistic",Young,Los Nómadas, rustic_necklace
Stone Vale,Rock,0.69,Guitar,"ultra realistic close-up portrait of an older male rock musician, neutral expression, looking at camera, short hair, casual shirt, natural skin texture, visible pores, realistic imperfections, 85mm lens, natural lighting, photorealistic",Older,Los Salvajes, rustic_necklace
Sora Lyne,Pop,0.72,Vocals,"ultra realistic close-up portrait of a middle-aged female singer, neutral expression, looking at camera, white t-shirt, natural skin texture, visible pores, realistic imperfections, 85mm lens, daylight lighting, photorealistic",Middle-aged,Los Románticos, blue_sunglasses
Dante Cross,Indie Rock,0.63,Vocals,"ultra realistic close-up portrait of a young male singer, neutral expression, looking at camera, dark blazer, serious expression, natural skin texture, visible pores, realistic imperfections, 85mm lens, moody lighting, photorealistic",Young,Los Soñadores, rustic_necklace
Vex Orion,Electronic,0.79,DJ,"ultra realistic close-up portrait of a young male DJ, neutral expression, looking at camera, tracksuit and beanie, natural skin texture, visible pores, realistic imperfections, 85mm lens, nightclub lighting, photorealistic",Young,La Calle, techno_glasses
Luma Skye,Pop,0.55,Vocals,"ultra realistic close-up portrait of an older female singer, neutral expression, looking at camera, soft makeup, elegant accessories, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft lighting, photorealistic",Older,Los Románticos, heart_glasses
Nyra Kade,Hip Hop / Soul,0.73,Vocals,"ultra realistic close-up portrait of a middle-aged female rapper, neutral expression, looking at camera, natural hair, patterned clothing, natural skin texture, visible pores, realistic imperfections, 85mm lens, studio lighting, photorealistic",Middle-aged,Los Nómadas, vintage_glasses
Cora Miel,Pop,0.52,Vocals,"ultra realistic close-up portrait of a young female singer, neutral expression, looking at camera, soft sweater, natural skin texture, visible pores, realistic imperfections, 85mm lens, warm indoor lighting, photorealistic",Young,Los Románticos, pink_glasses
Pyro Kine,Marimba Punk,0.83,Marimba,"ultra realistic close-up portrait of a young male musician, neutral expression, looking at camera, tattooed arms, punk style, natural skin texture, visible pores, realistic imperfections, 85mm lens, high contrast lighting, photorealistic",Young,Los Nómadas, trap_necklace
Elara Venn,Pop,0.61,Vocals,"ultra realistic close-up portrait of a young female singer, neutral expression, looking at camera, headscarf, natural skin texture, visible pores, realistic imperfections, 85mm lens, natural lighting, photorealistic",Young,La Calle, neck_scarf
Riven Skoll,Indie Rock,0.74,Guitar,"ultra realistic close-up portrait of an older male indie musician, neutral expression, looking at camera, retro outfit, natural skin texture, visible pores, realistic imperfections, 85mm lens, cinematic lighting, photorealistic",Older,Los Salvajes, psychedelic_glasses
Nova Tide,Funk / Disco,0.81,Synth,"ultra realistic close-up portrait of a middle-aged male funk musician, neutral expression, looking at camera, aviator sunglasses, retro style, natural skin texture, visible pores, realistic imperfections, 85mm lens, bright lighting, photorealistic",Middle-aged,Los Nómadas, heart_glasses
Echo Vant,Post-Punk,0.76,Guitar,"ultra realistic close-up portrait of a young male musician, neutral expression, looking at camera, band t-shirt, intense expression, natural skin texture, visible pores, realistic imperfections, 85mm lens, gritty lighting, photorealistic",Young,Los Salvajes, heart_glasses
Lily Drift,Indie Pop,0.60,Vocals,"ultra realistic close-up portrait of a young female indie singer, neutral expression, looking at camera, pastel outfit, handmade aesthetic, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft lighting, photorealistic",Young,Los Románticos, rustic_necklace
Axel Noir,Indie Rock,0.68,Guitar,"ultra realistic close-up portrait of a young male rock musician, neutral expression, looking at camera, black leather outfit, natural skin texture, visible pores, realistic imperfections, 85mm lens, cinematic lighting, photorealistic",Young,Los Salvajes, heart_glasses
Mira Cloud,Alternative Pop,0.65,Vocals,"ultra realistic close-up portrait of a middle-aged female singer, neutral expression, looking at camera, soft colors, minimal fashion, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft lighting, photorealistic",Middle-aged,Los Románticos, cowboy_hat
Orin Flux,Indie Electronic,0.73,Synth,"ultra realistic close-up portrait of a young male electronic artist, neutral expression, looking at camera, retro futuristic style, natural skin texture, visible pores, realistic imperfections, 85mm lens, neon lighting, photorealistic",Young,Los Soñadores, futuristic_glasses
Lena Pulse,Electronic Pop,0.78,Synth,"ultra realistic close-up portrait of a young female performer, neutral expression, looking at camera, neon outfit, avant-garde styling, natural skin texture, visible pores, realistic imperfections, 85mm lens, dramatic lighting, photorealistic",Young,Los Soñadores, colorful_necklace
Viko Ray,Indie Pop,0.75,Guitar,"ultra realistic close-up portrait of a young male indie artist, neutral expression, looking at camera, colorful outfit, playful expression, natural skin texture, visible pores, realistic imperfections, 85mm lens, bright lighting, photorealistic",Young,Los Románticos, techno_glasses
Suri Lane,Indie Pop,0.62,Guitar / Vocals,"ultra realistic close-up portrait of a young female singer, neutral expression, looking at camera, casual outfit, relaxed pose, natural skin texture, visible pores, realistic imperfections, 85mm lens, natural lighting, photorealistic",Young,Los Románticos, stay_homas_scarf
Dax Nova,Pop Reggae Fusion,0.77,Guitar,"ultra realistic close-up portrait of a young male musician, neutral expression, looking at camera, colorful streetwear, relaxed vibe, natural skin texture, visible pores, realistic imperfections, 85mm lens, warm lighting, photorealistic",Young,Los Nómadas, eccentric_hat
Kiro Blaze,Urban Hip Hop,0.74,Vocals,"ultra realistic close-up portrait of a young male rapper, neutral expression, looking at camera, cap and sporty streetwear, natural skin texture, visible pores, realistic imperfections, 85mm lens, studio lighting, photorealistic",Young,La Calle, colorful_necklace
Zaya Ice,Urban Trap,0.80,Vocals,"ultra realistic close-up portrait of a young female rapper, neutral expression, looking at camera, flashy Y2K outfit, bold expression, natural skin texture, visible pores, realistic imperfections, 85mm lens, neon lighting, photorealistic",Young,La Calle, techno_glasses
Nero Pulse,Urban Trap,0.82,Vocals,"ultra realistic close-up portrait of a young male rapper, neutral expression, looking at camera, colorful streetwear, confident pose, natural skin texture, visible pores, realistic imperfections, 85mm lens, photorealistic",Young,La Calle, colorful_necklace
Mina Rose,Urban Pop,0.68,Vocals,"ultra realistic close-up portrait of a young female singer, neutral expression, looking at camera, soft modern outfit, gentle expression, natural skin texture, visible pores, realistic imperfections, 85mm lens, photorealistic",Young,La Calle, mushka_hat
Ryo Kaze,Urban Pop Rap,0.79,Vocals,"ultra realistic close-up portrait of a young male rapper, neutral expression, looking at camera, sports jersey, energetic pose, natural skin texture, visible pores, realistic imperfections, 85mm lens, photorealistic",Young,La Calle, swag_hat
Luna Vex,Electronic Pop,0.70,Synth,"ultra realistic close-up portrait of a young female performer, neutral expression, looking at camera, theatrical makeup, quirky outfit, natural skin texture, visible pores, realistic imperfections, 85mm lens, dramatic lighting, photorealistic",Young,Los Soñadores, futuristic_glasses
Nyx Aura,Alternative Pop,0.66,Vocals,"ultra realistic close-up portrait of a young female singer, neutral expression, looking at camera, dark ethereal aesthetic, natural skin texture, visible pores, realistic imperfections, 85mm lens, moody lighting, photorealistic",Young,Los Soñadores, emo_hat
Eden Bloom,Indie Pop,0.64,Guitar,"ultra realistic close-up portrait of a young female indie artist, neutral expression, looking at camera, playful outfit, youthful vibe, natural skin texture, visible pores, realistic imperfections, 85mm lens, soft lighting, photorealistic",Young,Los Románticos, indie_sunglasses
Sol Vireo,Pop Rock,0.72,Guitar,"ultra realistic close-up portrait of a young male musician, neutral expression, looking at camera, festival clothing, energetic expression, natural skin texture, visible pores, realistic imperfections, 85mm lens, bright lighting, photorealistic",Young,Los Salvajes, heart_glasses
Kai Rio,Urban Pop Reggaeton,0.81,Vocals,"ultra realistic close-up portrait of a young male artist, neutral expression, looking at camera, summer outfit, sunglasses, natural skin texture, visible pores, realistic imperfections, 85mm lens, beach lighting, photorealistic",Young,La Calle, mushka_hat
