Artist,Mood_emoji,Instrument,Era,Real_Artist,Genre,Energy,Main_Instrument
vira nova,chill,guitar,classical,Halsey,Alternative Pop,0.7,Vocals
lena pulse,happy,dj,80s,Delaporte,Electronic Pop,0.78,Synth
luna vex,angry,trumpet,90s,Mama Dousha,Electronic Pop,0.7,Synth
axel noir,happy,violin,90s,Ultraligera,Indie Rock,0.68,Guitar
cale rowan,angry,trumpet,medieval,La Ludwig Band,Folk Rock,0.67,Guitar
echo vant,happy,bass,70s,Parquesvr,Post-Punk,0.76,Guitar
luma skye,happy,drums,70s,Yami Safdie,Pop,0.55,Vocals
vex orion,angry,piano,futuristic,Chico Blanco,Electronic,0.79,DJ
nyra kade,angry,bass,classical,Sampa the Great,Hip Hop / Soul,0.73,Vocals
vira nova,sad,dj,medieval,Halsey,Alternative Pop,0.7,Vocals
nero pulse,chill,trumpet,medieval,31 FAM,Urban Trap,0.82,Vocals
taro vale,happy,piano,70s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
pyro kine,chill,drums,futuristic,Son Rompe Pera,Marimba Punk,0.83,Marimba
nova tide,chill,trumpet,classical,Midnight Generation,Funk / Disco,0.81,Synth
cale rowan,chill,guitar,80s,La Ludwig Band,Folk Rock,0.67,Guitar
sol vireo,happy,dj,2000s,Sexenni,Pop Rock,0.72,Guitar
kai rio,sad,bass,2000s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
ryo kaze,happy,dj,70s,Figa Flawas,Urban Pop Rap,0.79,Vocals
cora miel,happy,piano,2010s,Sadie Jean,Pop,0.52,Vocals
ryo kaze,chill,violin,80s,Figa Flawas,Urban Pop Rap,0.79,Vocals
nova tide,chill,guitar,90s,Midnight Generation,Funk / Disco,0.81,Synth
nero pulse,happy,drums,classical,31 FAM,Urban Trap,0.82,Vocals
sol vireo,chill,synth,80s,Sexenni,Pop Rock,0.72,Guitar
bright hollow,angry,dj,90s,Two Door Cinema Club,Indie Rock,0.8,Guitar
pyro kine,happy,piano,80s,Son Rompe Pera,Marimba Punk,0.83,Marimba
sora lyne,sad,violin,70s,Sigrid,Pop,0.72,Vocals
ryo kaze,chill,trumpet,2010s,Figa Flawas,Urban Pop Rap,0.79,Vocals
mira cloud,chill,piano,80s,The Cardigans,Alternative Pop,0.65,Vocals
lena pulse,sad,drums,2000s,Delaporte,Electronic Pop,0.78,Synth
liora vale,happy,trumpet,medieval,Rigoberta Bandini,Indie Pop,0.68,Vocals
mira solis,happy,dj,classical,Reneé Rapp,Pop,0.66,Vocals
cale rowan,sad,trumpet,2000s,La Ludwig Band,Folk Rock,0.67,Guitar
pyro kine,happy,synth,70s,Son Rompe Pera,Marimba Punk,0.83,Marimba
lena pulse,angry,violin,2000s,Delaporte,Electronic Pop,0.78,Synth
juno vex,angry,guitar,70s,Alizzz,Electronic Pop,0.71,Synth
vira nova,happy,guitar,80s,Halsey,Alternative Pop,0.7,Vocals
taro vale,happy,trumpet,2010s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
nyra kade,chill,piano,70s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
nox arden,angry,violin,90s,Sen Senra,Indie Pop,0.64,Vocals
mina rose,chill,drums,medieval,Mushkaa,Urban Pop,0.68,Vocals
mina rose,angry,violin,90s,Mushkaa,Urban Pop,0.68,Vocals
liora vale,happy,guitar,70s,Rigoberta Bandini,Indie Pop,0.68,Vocals
aqua lume,angry,piano,2010s,Polo & Pan,Electronic,0.62,Synth
eden bloom,angry,guitar,70s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
nox arden,happy,dj,80s,Sen Senra,Indie Pop,0.64,Vocals
liora vale,happy,violin,classical,Rigoberta Bandini,Indie Pop,0.68,Vocals
aqua lume,happy,guitar,classical,Polo & Pan,Electronic,0.62,Synth
orion keys,happy,violin,2000s,Jon Batiste,Jazz / Soul,0.6,Piano
zaya ice,sad,synth,70s,Flashy Ice Cream,Urban Trap,0.8,Vocals
mira solis,sad,drums,80s,Reneé Rapp,Pop,0.66,Vocals
elias storm,sad,piano,80s,Suede,Britpop,0.72,Vocals / Guitar
nyra kade,chill,guitar,90s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
luma skye,happy,dj,70s,Yami Safdie,Pop,0.55,Vocals
luna vex,sad,drums,80s,Mama Dousha,Electronic Pop,0.7,Synth
sora lyne,chill,piano,classical,Sigrid,Pop,0.72,Vocals
ryo kaze,chill,dj,2010s,Figa Flawas,Urban Pop Rap,0.79,Vocals
luna vex,sad,synth,70s,Mama Dousha,Electronic Pop,0.7,Synth
lumen riot,happy,dj,70s,Pixies,Alternative Rock,0.82,Guitar
liora vale,sad,bass,2010s,Rigoberta Bandini,Indie Pop,0.68,Vocals
mira cloud,chill,synth,futuristic,The Cardigans,Alternative Pop,0.65,Vocals
dax nova,sad,piano,70s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
lena pulse,sad,guitar,80s,Delaporte,Electronic Pop,0.78,Synth
echo vant,angry,trumpet,2010s,Parquesvr,Post-Punk,0.76,Guitar
riven skoll,happy,violin,2000s,Sidonie,Indie Rock,0.74,Guitar
cale rowan,sad,bass,90s,La Ludwig Band,Folk Rock,0.67,Guitar
nyx aura,angry,trumpet,2010s,Ven'nus,Alternative Pop,0.66,Vocals
cale rowan,sad,trumpet,90s,La Ludwig Band,Folk Rock,0.67,Guitar
mina rose,chill,bass,2000s,Mushkaa,Urban Pop,0.68,Vocals
nova tide,happy,guitar,2010s,Midnight Generation,Funk / Disco,0.81,Synth
dax nova,angry,synth,70s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
dax nova,sad,guitar,90s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
arlo kain,chill,drums,70s,David Byrne,Art Rock,0.65,Vocals / Guitar
mira cloud,angry,dj,medieval,The Cardigans,Alternative Pop,0.65,Vocals
orin flux,sad,drums,futuristic,Dorian,Indie Electronic,0.73,Synth
lena pulse,angry,guitar,2010s,Delaporte,Electronic Pop,0.78,Synth
riven skoll,chill,synth,80s,Sidonie,Indie Rock,0.74,Guitar
mono chrome,chill,trumpet,2010s,The Hives,Garage Rock,0.9,Guitar
mono chrome,sad,drums,2010s,The Hives,Garage Rock,0.9,Guitar
rex volta,happy,drums,2010s,Meute,Techno Brass,0.86,Brass
dante cross,sad,piano,70s,Mishima,Indie Rock,0.63,Vocals
eden bloom,angry,synth,futuristic,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
eira flux,happy,guitar,80s,Zahara,Indie Pop,0.58,Vocals
luma skye,chill,guitar,90s,Yami Safdie,Pop,0.55,Vocals
zelka tano,sad,guitar,classical,Bomba Estéreo,Electro Cumbia,0.85,Vocals
orin flux,chill,piano,90s,Dorian,Indie Electronic,0.73,Synth
axel noir,chill,trumpet,medieval,Ultraligera,Indie Rock,0.68,Guitar
dante cross,happy,dj,80s,Mishima,Indie Rock,0.63,Vocals
bright hollow,happy,guitar,medieval,Two Door Cinema Club,Indie Rock,0.8,Guitar
arlo kain,sad,violin,classical,David Byrne,Art Rock,0.65,Vocals / Guitar
axel noir,chill,dj,80s,Ultraligera,Indie Rock,0.68,Guitar
dust canyon,angry,drums,futuristic,The Black Crowes,Blues Rock,0.78,Guitar
sora lyne,sad,violin,80s,Sigrid,Pop,0.72,Vocals
nero pulse,happy,trumpet,80s,31 FAM,Urban Trap,0.82,Vocals
luma skye,happy,synth,70s,Yami Safdie,Pop,0.55,Vocals
eira flux,sad,drums,medieval,Zahara,Indie Pop,0.58,Vocals
lena pulse,happy,violin,classical,Delaporte,Electronic Pop,0.78,Synth
sol vireo,sad,guitar,2010s,Sexenni,Pop Rock,0.72,Guitar
lumen riot,happy,guitar,70s,Pixies,Alternative Rock,0.82,Guitar
suri lane,happy,bass,80s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
lumen riot,angry,dj,classical,Pixies,Alternative Rock,0.82,Guitar
noir signal,chill,violin,90s,Faithless,Electronic / Dance,0.88,Synth / DJ
cora miel,sad,guitar,classical,Sadie Jean,Pop,0.52,Vocals
zelka tano,happy,piano,90s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
elara venn,happy,guitar,futuristic,Judeline,Pop,0.61,Vocals
axel noir,happy,piano,80s,Ultraligera,Indie Rock,0.68,Guitar
luna vex,angry,guitar,2010s,Mama Dousha,Electronic Pop,0.7,Synth
dax nova,chill,guitar,70s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
viko ray,sad,synth,futuristic,Ginebras,Indie Pop,0.75,Guitar
dax nova,happy,synth,80s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
ryo kaze,chill,trumpet,medieval,Figa Flawas,Urban Pop Rap,0.79,Vocals
cora miel,sad,synth,2010s,Sadie Jean,Pop,0.52,Vocals
cora miel,sad,drums,70s,Sadie Jean,Pop,0.52,Vocals
zelka tano,angry,trumpet,classical,Bomba Estéreo,Electro Cumbia,0.85,Vocals
liora vale,happy,trumpet,90s,Rigoberta Bandini,Indie Pop,0.68,Vocals
riven skoll,happy,violin,2000s,Sidonie,Indie Rock,0.74,Guitar
suri lane,sad,violin,2010s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
echo vant,happy,guitar,2000s,Parquesvr,Post-Punk,0.76,Guitar
bright hollow,angry,dj,2010s,Two Door Cinema Club,Indie Rock,0.8,Guitar
dante cross,sad,bass,70s,Mishima,Indie Rock,0.63,Vocals
mina rose,sad,synth,2000s,Mushkaa,Urban Pop,0.68,Vocals
cale rowan,happy,violin,2010s,La Ludwig Band,Folk Rock,0.67,Guitar
mina rose,chill,guitar,classical,Mushkaa,Urban Pop,0.68,Vocals
dante cross,happy,drums,70s,Mishima,Indie Rock,0.63,Vocals
dante cross,happy,drums,classical,Mishima,Indie Rock,0.63,Vocals
stone vale,angry,synth,2000s,Els Pets,Rock,0.69,Guitar
eden bloom,happy,violin,70s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
pyro kine,chill,dj,2000s,Son Rompe Pera,Marimba Punk,0.83,Marimba
axel noir,chill,violin,90s,Ultraligera,Indie Rock,0.68,Guitar
sora lyne,happy,guitar,90s,Sigrid,Pop,0.72,Vocals
cale rowan,sad,dj,2000s,La Ludwig Band,Folk Rock,0.67,Guitar
luna vex,sad,guitar,medieval,Mama Dousha,Electronic Pop,0.7,Synth
sol vireo,happy,trumpet,90s,Sexenni,Pop Rock,0.72,Guitar
arlo kain,chill,guitar,classical,David Byrne,Art Rock,0.65,Vocals / Guitar
lumen riot,happy,guitar,80s,Pixies,Alternative Rock,0.82,Guitar
sol vireo,happy,bass,medieval,Sexenni,Pop Rock,0.72,Guitar
cora miel,happy,violin,classical,Sadie Jean,Pop,0.52,Vocals
nyra kade,happy,drums,futuristic,Sampa the Great,Hip Hop / Soul,0.73,Vocals
kai rio,sad,guitar,classical,The Tyets,Urban Pop Reggaeton,0.81,Vocals
bright hollow,happy,piano,classical,Two Door Cinema Club,Indie Rock,0.8,Guitar
nero pulse,happy,trumpet,2010s,31 FAM,Urban Trap,0.82,Vocals
rex volta,happy,bass,2000s,Meute,Techno Brass,0.86,Brass
nyra kade,chill,drums,2000s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
zaya ice,happy,trumpet,futuristic,Flashy Ice Cream,Urban Trap,0.8,Vocals
lily drift,chill,synth,medieval,Chiquita Movida,Indie Pop,0.6,Vocals
noir signal,sad,bass,futuristic,Faithless,Electronic / Dance,0.88,Synth / DJ
mira solis,happy,dj,medieval,Reneé Rapp,Pop,0.66,Vocals
zaya ice,happy,guitar,medieval,Flashy Ice Cream,Urban Trap,0.8,Vocals
crimson echo,chill,guitar,90s,Garbage,Alternative Rock,0.75,Vocals
echo vant,chill,violin,classical,Parquesvr,Post-Punk,0.76,Guitar
nyx aura,sad,guitar,classical,Ven'nus,Alternative Pop,0.66,Vocals
suri lane,chill,dj,classical,Stay Homas,Indie Pop,0.62,Guitar / Vocals
nox arden,happy,drums,medieval,Sen Senra,Indie Pop,0.64,Vocals
liora vale,happy,dj,90s,Rigoberta Bandini,Indie Pop,0.68,Vocals
elias storm,angry,guitar,classical,Suede,Britpop,0.72,Vocals / Guitar
stone vale,chill,piano,futuristic,Els Pets,Rock,0.69,Guitar
nyx aura,sad,violin,70s,Ven'nus,Alternative Pop,0.66,Vocals
orin flux,sad,dj,futuristic,Dorian,Indie Electronic,0.73,Synth
mira solis,sad,dj,medieval,Reneé Rapp,Pop,0.66,Vocals
cora miel,chill,trumpet,2000s,Sadie Jean,Pop,0.52,Vocals
ryo kaze,chill,piano,90s,Figa Flawas,Urban Pop Rap,0.79,Vocals
nero pulse,chill,trumpet,classical,31 FAM,Urban Trap,0.82,Vocals
nova tide,chill,drums,medieval,Midnight Generation,Funk / Disco,0.81,Synth
nero pulse,happy,synth,medieval,31 FAM,Urban Trap,0.82,Vocals
orin flux,sad,bass,90s,Dorian,Indie Electronic,0.73,Synth
stone vale,sad,drums,80s,Els Pets,Rock,0.69,Guitar
zaya ice,chill,bass,90s,Flashy Ice Cream,Urban Trap,0.8,Vocals
cora miel,angry,synth,medieval,Sadie Jean,Pop,0.52,Vocals
nyra kade,angry,bass,80s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
mira cloud,happy,drums,2010s,The Cardigans,Alternative Pop,0.65,Vocals
vira nova,happy,drums,medieval,Halsey,Alternative Pop,0.7,Vocals
liora vale,angry,synth,futuristic,Rigoberta Bandini,Indie Pop,0.68,Vocals
zaya ice,angry,guitar,2010s,Flashy Ice Cream,Urban Trap,0.8,Vocals
elara venn,happy,dj,futuristic,Judeline,Pop,0.61,Vocals
pyro kine,happy,trumpet,2000s,Son Rompe Pera,Marimba Punk,0.83,Marimba
viko ray,sad,piano,medieval,Ginebras,Indie Pop,0.75,Guitar
kiro blaze,chill,synth,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
nero pulse,happy,guitar,90s,31 FAM,Urban Trap,0.82,Vocals
juno vex,sad,synth,90s,Alizzz,Electronic Pop,0.71,Synth
elara venn,sad,bass,futuristic,Judeline,Pop,0.61,Vocals
taro vale,sad,dj,2010s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
stone vale,sad,trumpet,80s,Els Pets,Rock,0.69,Guitar
riven skoll,chill,dj,2010s,Sidonie,Indie Rock,0.74,Guitar
lena pulse,sad,bass,90s,Delaporte,Electronic Pop,0.78,Synth
suri lane,happy,dj,2010s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
nyx aura,angry,synth,70s,Ven'nus,Alternative Pop,0.66,Vocals
axel noir,chill,trumpet,2010s,Ultraligera,Indie Rock,0.68,Guitar
nox arden,sad,piano,futuristic,Sen Senra,Indie Pop,0.64,Vocals
lena pulse,angry,piano,2010s,Delaporte,Electronic Pop,0.78,Synth
rex volta,happy,synth,2000s,Meute,Techno Brass,0.86,Brass
vex orion,angry,dj,2010s,Chico Blanco,Electronic,0.79,DJ
mira solis,sad,guitar,90s,Reneé Rapp,Pop,0.66,Vocals
ryo kaze,sad,dj,90s,Figa Flawas,Urban Pop Rap,0.79,Vocals
suri lane,happy,bass,medieval,Stay Homas,Indie Pop,0.62,Guitar / Vocals
ryo kaze,chill,bass,classical,Figa Flawas,Urban Pop Rap,0.79,Vocals
nyx aura,happy,trumpet,2000s,Ven'nus,Alternative Pop,0.66,Vocals
nyra kade,chill,violin,futuristic,Sampa the Great,Hip Hop / Soul,0.73,Vocals
mina rose,happy,piano,80s,Mushkaa,Urban Pop,0.68,Vocals
orion keys,happy,dj,classical,Jon Batiste,Jazz / Soul,0.6,Piano
nox arden,happy,guitar,2000s,Sen Senra,Indie Pop,0.64,Vocals
viko ray,sad,guitar,90s,Ginebras,Indie Pop,0.75,Guitar
orion keys,sad,trumpet,70s,Jon Batiste,Jazz / Soul,0.6,Piano
bright hollow,sad,bass,classical,Two Door Cinema Club,Indie Rock,0.8,Guitar
cora miel,chill,drums,2000s,Sadie Jean,Pop,0.52,Vocals
mira cloud,happy,bass,2000s,The Cardigans,Alternative Pop,0.65,Vocals
nyra kade,happy,drums,medieval,Sampa the Great,Hip Hop / Soul,0.73,Vocals
sol vireo,chill,bass,medieval,Sexenni,Pop Rock,0.72,Guitar
ryo kaze,angry,dj,2010s,Figa Flawas,Urban Pop Rap,0.79,Vocals
lumen riot,chill,guitar,2000s,Pixies,Alternative Rock,0.82,Guitar
orin flux,happy,bass,70s,Dorian,Indie Electronic,0.73,Synth
nox arden,happy,bass,2000s,Sen Senra,Indie Pop,0.64,Vocals
eira flux,happy,bass,futuristic,Zahara,Indie Pop,0.58,Vocals
dante cross,sad,dj,2010s,Mishima,Indie Rock,0.63,Vocals
lena pulse,angry,bass,2010s,Delaporte,Electronic Pop,0.78,Synth
kiro blaze,happy,dj,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
kiro blaze,happy,violin,classical,Lildami,Urban Hip Hop,0.74,Vocals
zelka tano,sad,piano,2000s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
aqua lume,happy,dj,90s,Polo & Pan,Electronic,0.62,Synth
zelka tano,happy,guitar,classical,Bomba Estéreo,Electro Cumbia,0.85,Vocals
vex orion,chill,piano,2000s,Chico Blanco,Electronic,0.79,DJ
luna vex,sad,bass,80s,Mama Dousha,Electronic Pop,0.7,Synth
noir signal,sad,guitar,medieval,Faithless,Electronic / Dance,0.88,Synth / DJ
kiro blaze,happy,bass,classical,Lildami,Urban Hip Hop,0.74,Vocals
viko ray,angry,dj,90s,Ginebras,Indie Pop,0.75,Guitar
lily drift,angry,synth,90s,Chiquita Movida,Indie Pop,0.6,Vocals
luma skye,happy,trumpet,2010s,Yami Safdie,Pop,0.55,Vocals
zaya ice,chill,trumpet,80s,Flashy Ice Cream,Urban Trap,0.8,Vocals
cora miel,sad,dj,2010s,Sadie Jean,Pop,0.52,Vocals
axel noir,chill,dj,80s,Ultraligera,Indie Rock,0.68,Guitar
lumen riot,happy,dj,classical,Pixies,Alternative Rock,0.82,Guitar
orion keys,angry,violin,90s,Jon Batiste,Jazz / Soul,0.6,Piano
eden bloom,happy,piano,90s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
mina rose,angry,dj,2000s,Mushkaa,Urban Pop,0.68,Vocals
ryo kaze,happy,drums,futuristic,Figa Flawas,Urban Pop Rap,0.79,Vocals
orin flux,happy,piano,classical,Dorian,Indie Electronic,0.73,Synth
elara venn,sad,violin,medieval,Judeline,Pop,0.61,Vocals
dust canyon,chill,violin,70s,The Black Crowes,Blues Rock,0.78,Guitar
nova tide,chill,drums,classical,Midnight Generation,Funk / Disco,0.81,Synth
arlo kain,sad,piano,classical,David Byrne,Art Rock,0.65,Vocals / Guitar
kai rio,sad,bass,medieval,The Tyets,Urban Pop Reggaeton,0.81,Vocals
orion keys,sad,drums,classical,Jon Batiste,Jazz / Soul,0.6,Piano
juno vex,chill,synth,classical,Alizzz,Electronic Pop,0.71,Synth
mina rose,angry,guitar,80s,Mushkaa,Urban Pop,0.68,Vocals
mira cloud,happy,piano,futuristic,The Cardigans,Alternative Pop,0.65,Vocals
elias storm,happy,trumpet,70s,Suede,Britpop,0.72,Vocals / Guitar
crimson echo,angry,drums,90s,Garbage,Alternative Rock,0.75,Vocals
nova tide,happy,bass,70s,Midnight Generation,Funk / Disco,0.81,Synth
taro vale,sad,synth,futuristic,Ezra Collective,Jazz / Afrobeat,0.74,Drums
cora miel,angry,bass,80s,Sadie Jean,Pop,0.52,Vocals
vex orion,happy,violin,2000s,Chico Blanco,Electronic,0.79,DJ
aqua lume,happy,synth,medieval,Polo & Pan,Electronic,0.62,Synth
lumen riot,sad,dj,80s,Pixies,Alternative Rock,0.82,Guitar
stone vale,angry,violin,2010s,Els Pets,Rock,0.69,Guitar
dax nova,sad,bass,2010s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
zelka tano,happy,piano,2000s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
juno vex,happy,trumpet,2000s,Alizzz,Electronic Pop,0.71,Synth
elara venn,angry,dj,futuristic,Judeline,Pop,0.61,Vocals
viko ray,chill,guitar,medieval,Ginebras,Indie Pop,0.75,Guitar
juno vex,happy,bass,90s,Alizzz,Electronic Pop,0.71,Synth
kai rio,sad,violin,medieval,The Tyets,Urban Pop Reggaeton,0.81,Vocals
mina rose,happy,dj,classical,Mushkaa,Urban Pop,0.68,Vocals
luna vex,happy,guitar,futuristic,Mama Dousha,Electronic Pop,0.7,Synth
cora miel,chill,trumpet,2010s,Sadie Jean,Pop,0.52,Vocals
zaya ice,happy,trumpet,2000s,Flashy Ice Cream,Urban Trap,0.8,Vocals
luna vex,chill,synth,70s,Mama Dousha,Electronic Pop,0.7,Synth
axel noir,happy,piano,classical,Ultraligera,Indie Rock,0.68,Guitar
vex orion,chill,bass,80s,Chico Blanco,Electronic,0.79,DJ
vex orion,chill,trumpet,medieval,Chico Blanco,Electronic,0.79,DJ
pyro kine,happy,bass,2010s,Son Rompe Pera,Marimba Punk,0.83,Marimba
juno vex,chill,synth,futuristic,Alizzz,Electronic Pop,0.71,Synth
arlo kain,chill,synth,2010s,David Byrne,Art Rock,0.65,Vocals / Guitar
eden bloom,angry,bass,classical,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
vira nova,chill,drums,medieval,Halsey,Alternative Pop,0.7,Vocals
mira solis,angry,violin,70s,Reneé Rapp,Pop,0.66,Vocals
juno vex,sad,drums,2010s,Alizzz,Electronic Pop,0.71,Synth
vex orion,chill,drums,80s,Chico Blanco,Electronic,0.79,DJ
orion keys,sad,trumpet,70s,Jon Batiste,Jazz / Soul,0.6,Piano
rex volta,chill,drums,2000s,Meute,Techno Brass,0.86,Brass
liora vale,happy,guitar,2000s,Rigoberta Bandini,Indie Pop,0.68,Vocals
eira flux,sad,bass,2010s,Zahara,Indie Pop,0.58,Vocals
mono chrome,happy,bass,2010s,The Hives,Garage Rock,0.9,Guitar
luma skye,chill,dj,classical,Yami Safdie,Pop,0.55,Vocals
kai rio,sad,trumpet,2010s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
ryo kaze,angry,drums,medieval,Figa Flawas,Urban Pop Rap,0.79,Vocals
viko ray,chill,dj,90s,Ginebras,Indie Pop,0.75,Guitar
stone vale,happy,trumpet,80s,Els Pets,Rock,0.69,Guitar
nero pulse,chill,piano,70s,31 FAM,Urban Trap,0.82,Vocals
mira cloud,chill,dj,classical,The Cardigans,Alternative Pop,0.65,Vocals
kael vorn,happy,piano,2000s,Jovanotti,Pop / World Music,0.77,Vocals
eira flux,chill,bass,70s,Zahara,Indie Pop,0.58,Vocals
riven skoll,angry,piano,90s,Sidonie,Indie Rock,0.74,Guitar
pyro kine,chill,trumpet,medieval,Son Rompe Pera,Marimba Punk,0.83,Marimba
dax nova,sad,synth,futuristic,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
taro vale,chill,synth,medieval,Ezra Collective,Jazz / Afrobeat,0.74,Drums
viko ray,angry,bass,2000s,Ginebras,Indie Pop,0.75,Guitar
kael vorn,happy,dj,2010s,Jovanotti,Pop / World Music,0.77,Vocals
rex volta,chill,trumpet,90s,Meute,Techno Brass,0.86,Brass
lily drift,happy,piano,medieval,Chiquita Movida,Indie Pop,0.6,Vocals
orion keys,chill,synth,90s,Jon Batiste,Jazz / Soul,0.6,Piano
bright hollow,chill,bass,90s,Two Door Cinema Club,Indie Rock,0.8,Guitar
juno vex,happy,synth,classical,Alizzz,Electronic Pop,0.71,Synth
dax nova,sad,violin,2000s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
noir signal,sad,drums,90s,Faithless,Electronic / Dance,0.88,Synth / DJ
elara venn,chill,drums,80s,Judeline,Pop,0.61,Vocals
elara venn,sad,drums,90s,Judeline,Pop,0.61,Vocals
luna vex,happy,synth,80s,Mama Dousha,Electronic Pop,0.7,Synth
